"Date","Price","Open","High","Low","Vol.","Change %"
"28-07-2025","2,513.10","2,460.00","2,524.00","2,448.20","1.39M","2.41%"
"25-07-2025","2,454.00","2,538.90","2,542.00","2,444.20","3.59M","-3.68%"
"24-07-2025","2,547.80","2,558.90","2,566.00","2,521.00","2.63M","-0.37%"
"23-07-2025","2,557.20","2,554.00","2,566.90","2,510.00","2.69M","0.35%"
"22-07-2025","2,548.40","2,570.00","2,570.90","2,540.00","3.22M","1.07%"
"21-07-2025","2,521.30","2,450.00","2,535.00","2,433.10","4.73M","2.97%"
"18-07-2025","2,448.50","2,480.00","2,487.10","2,435.00","3.28M","-1.07%"
"17-07-2025","2,474.90","2,540.00","2,549.00","2,446.60","4.38M","-2.18%"
"16-07-2025","2,530.00","2,550.00","2,585.00","2,523.10","4.36M","-0.63%"
"15-07-2025","2,546.00","2,479.00","2,554.20","2,444.80","5.73M","3.47%"
"14-07-2025","2,460.70","2,425.00","2,477.20","2,390.80","7.63M","3.78%"
"11-07-2025","2,371.10","2,466.40","2,476.20","2,365.30","7.12M","-3.86%"
"10-07-2025","2,466.30","2,534.60","2,545.90","2,460.00","5.06M","-2.28%"
"09-07-2025","2,523.80","2,500.00","2,550.00","2,485.50","6.82M","1.89%"
"08-07-2025","2,477.00","2,640.00","2,644.00","2,395.00","18.42M","-6.04%"
"07-07-2025","2,636.20","2,635.20","2,680.00","2,590.70","4.32M","0.04%"
"04-07-2025","2,635.20","2,778.00","2,778.00","2,613.10","12.92M","-6.56%"
"03-07-2025","2,820.10","2,759.90","2,825.90","2,742.50","3.79M","2.46%"
"02-07-2025","2,752.40","2,770.00","2,805.00","2,745.00","2.34M","-0.82%"
"01-07-2025","2,775.10","2,778.00","2,796.00","2,738.20","2.80M","0.18%"
"30-06-2025","2,770.10","2,788.90","2,805.00","2,753.40","2.97M","-0.20%"
"27-06-2025","2,775.60","2,816.50","2,838.10","2,760.00","4.15M","-0.98%"
"26-06-2025","2,803.00","2,789.00","2,821.00","2,748.00","3.86M","0.50%"
"25-06-2025","2,789.00","2,800.20","2,825.00","2,772.10","3.73M","0.12%"
"24-06-2025","2,785.60","2,850.00","2,865.60","2,777.00","6.05M","0.37%"
"23-06-2025","2,775.30","2,670.00","2,795.00","2,648.00","7.00M","3.24%"
"20-06-2025","2,688.10","2,600.00","2,698.40","2,571.00","5.80M","3.57%"
"19-06-2025","2,595.40","2,645.00","2,656.40","2,584.00","4.15M","-1.44%"
"18-06-2025","2,633.20","2,525.00","2,664.00","2,500.00","9.96M","-1.17%"
"17-06-2025","2,664.40","2,719.00","2,730.00","2,622.30","6.16M","-1.22%"
"16-06-2025","2,697.40","2,725.00","2,769.00","2,675.00","5.76M","-0.51%"
"13-06-2025","2,711.20","2,653.00","2,770.00","2,653.00","7.51M","-1.56%"
"12-06-2025","2,754.10","2,860.00","2,860.90","2,748.40","9.60M","-4.45%"
"11-06-2025","2,882.40","3,015.00","3,019.90","2,823.10","10.67M","-4.09%"
"10-06-2025","3,005.40","3,009.30","3,030.00","2,975.20","7.14M","0.37%"
"09-06-2025","2,994.40","2,970.00","3,024.90","2,935.30","7.30M","2.09%"
"06-06-2025","2,933.20","2,939.80","2,985.00","2,920.00","10.37M","0.80%"
"05-06-2025","2,909.80","2,821.10","2,918.00","2,815.00","11.09M","4.03%"
"04-06-2025","2,797.10","2,779.90","2,815.00","2,711.00","6.83M","1.16%"
"03-06-2025","2,764.90","2,720.00","2,787.80","2,692.00","8.66M","2.66%"
"02-06-2025","2,693.30","2,690.00","2,735.20","2,647.00","10.99M","0.72%"
"30-05-2025","2,674.00","2,472.50","2,690.00","2,469.00","18.47M","8.50%"
"29-05-2025","2,464.50","2,429.00","2,470.00","2,391.00","6.16M","2.52%"
"28-05-2025","2,404.00","2,425.00","2,438.00","2,385.00","5.09M","0.00%"
"27-05-2025","2,404.00","2,450.00","2,450.00","2,395.50","6.55M","-1.88%"
"26-05-2025","2,450.00","2,480.00","2,526.00","2,435.00","9.29M","0.08%"
"23-05-2025","2,448.00","2,358.00","2,488.00","2,335.00","16.56M","4.97%"
"22-05-2025","2,332.16","2,435.00","2,440.16","2,298.33","15.08M","-4.22%"
"21-05-2025","2,435.00","2,466.66","2,490.00","2,400.16","8.33M","-1.09%"
"20-05-2025","2,461.83","2,511.00","2,529.33","2,454.00","9.83M","-0.99%"
"19-05-2025","2,486.33","2,438.33","2,491.66","2,427.33","6.78M","2.47%"
"16-05-2025","2,426.33","2,400.00","2,438.33","2,397.16","5.44M","1.83%"
"15-05-2025","2,382.66","2,450.66","2,450.66","2,370.50","10.08M","-2.71%"
"14-05-2025","2,449.00","2,450.66","2,474.16","2,417.16","9.44M","0.50%"
"13-05-2025","2,436.83","2,331.74","2,446.99","2,325.57","16.16M","5.18%"
"12-05-2025","2,316.91","2,298.43","2,347.39","2,286.77","11.88M","5.84%"
"09-05-2025","2,189.17","2,165.18","2,215.15","2,159.19","10.56M","-1.76%"
"08-05-2025","2,228.47","2,241.47","2,296.43","2,208.82","15.82M","0.56%"
"07-05-2025","2,215.98","2,121.88","2,280.94","2,116.05","32.62M","6.53%"
"06-05-2025","2,080.24","2,156.86","2,175.01","2,071.92","7.53M","-3.23%"
"05-05-2025","2,149.70","2,115.22","2,157.69","2,088.57","6.59M","2.33%"
"02-05-2025","2,100.73","2,118.88","2,168.18","2,093.90","7.70M","-0.83%"
"30-04-2025","2,118.22","2,221.81","2,221.81","2,106.06","7.39M","-4.25%"
"29-04-2025","2,212.32","2,198.83","2,267.78","2,185.67","11.04M","1.17%"
"28-04-2025","2,186.67","2,098.56","2,197.66","2,089.24","8.72M","4.14%"
"25-04-2025","2,099.73","2,173.51","2,196.83","2,056.09","12.84M","-2.93%"
"24-04-2025","2,163.02","2,148.53","2,186.50","2,138.54","8.30M","0.85%"
"23-04-2025","2,144.87","2,098.23","2,151.53","2,073.58","11.01M","3.16%"
"22-04-2025","2,079.08","2,114.55","2,134.54","2,073.58","10.09M","-0.69%"
"21-04-2025","2,093.57","1,992.30","2,102.89","1,988.64","12.26M","5.97%"
"17-04-2025","1,975.65","1,968.32","2,011.96","1,953.83","7.75M","0.01%"
"16-04-2025","1,975.48","1,994.30","1,997.97","1,952.00","6.66M","-0.46%"
"15-04-2025","1,984.64","1,915.69","1,990.30","1,905.70","7.91M","5.55%"
"11-04-2025","1,880.30","1,897.83","1,906.69","1,859.39","7.93M","1.74%"
"09-04-2025","1,848.18","1,832.15","1,868.72","1,801.30","9.49M","0.18%"
"08-04-2025","1,844.80","1,798.77","1,851.68","1,782.96","10.42M","6.86%"
"07-04-2025","1,726.30","1,665.54","1,748.80","1,658.31","12.64M","-6.07%"
"04-04-2025","1,837.89","1,873.20","1,885.26","1,819.69","11.41M","-1.84%"
"03-04-2025","1,872.34","1,857.40","1,927.75","1,852.57","13.50M","-0.60%"
"02-04-2025","1,883.66","1,821.75","1,892.04","1,808.76","14.56M","3.46%"
"01-04-2025","1,820.75","1,846.74","1,857.23","1,808.76","13.95M","-0.25%"
"28-03-2025","1,825.35","1,665.53","1,843.54","1,665.53","56.32M","16.98%"
"27-03-2025","1,560.38","1,548.94","1,577.25","1,525.02","20.80M","4.68%"
"26-03-2025","1,490.55","1,555.60","1,561.26","1,483.32","8.88M","-3.80%"
"25-03-2025","1,549.49","1,560.27","1,591.34","1,537.55","12.42M","-0.07%"
"24-03-2025","1,550.62","1,612.23","1,635.18","1,539.51","17.44M","-2.61%"
"21-03-2025","1,592.16","1,495.31","1,615.56","1,484.02","21.10M","6.74%"
"20-03-2025","1,491.68","1,476.99","1,516.63","1,450.67","16.11M","1.95%"
"19-03-2025","1,463.15","1,387.05","1,470.08","1,384.22","15.51M","5.93%"
"18-03-2025","1,381.29","1,335.09","1,388.37","1,325.76","9.96M","4.65%"
"17-03-2025","1,319.88","1,322.29","1,340.75","1,299.44","8.73M","0.92%"
"13-03-2025","1,307.85","1,337.22","1,352.19","1,299.11","11.31M","-2.20%"
"12-03-2025","1,337.22","1,287.45","1,355.37","1,287.45","18.98M","5.37%"
"11-03-2025","1,269.05","1,305.77","1,325.41","1,226.49","21.79M","-4.73%"
"10-03-2025","1,332.07","1,389.05","1,410.30","1,324.44","12.52M","-4.29%"
"07-03-2025","1,391.81","1,409.00","1,440.61","1,386.40","11.04M","-1.77%"
"06-03-2025","1,416.85","1,459.00","1,460.25","1,404.04","14.68M","-1.06%"
"05-03-2025","1,432.05","1,432.35","1,456.55","1,344.11","32.71M","-3.47%"
"04-03-2025","1,483.53","1,426.39","1,520.61","1,394.71","19.25M","2.16%"
"03-03-2025","1,452.16","1,537.28","1,537.28","1,446.89","19.02M","-5.92%"
"28-02-2025","1,543.51","1,705.50","1,731.81","1,516.03","21.54M","-10.24%"
"27-02-2025","1,719.66","1,837.06","1,840.07","1,705.50","8.24M","-6.17%"
"25-02-2025","1,832.75","1,882.05","1,887.16","1,828.75","5.20M","-1.91%"
"24-02-2025","1,868.47","1,882.05","1,912.69","1,860.73","4.46M","-2.58%"
"21-02-2025","1,917.95","1,978.61","2,014.44","1,902.85","10.08M","-3.38%"
"20-02-2025","1,985.02","1,894.37","1,992.97","1,866.89","14.67M","5.83%"
"19-02-2025","1,875.72","1,717.16","1,890.27","1,715.48","11.83M","8.58%"
"18-02-2025","1,727.52","1,735.15","1,741.14","1,695.51","3.76M","-0.43%"
"17-02-2025","1,735.05","1,698.67","1,743.47","1,655.87","5.76M","1.72%"
"14-02-2025","1,705.68","1,777.12","1,777.12","1,687.51","7.14M","-2.57%"
"13-02-2025","1,750.62","1,786.78","1,797.09","1,734.15","5.86M","-1.86%"
"12-02-2025","1,783.88","1,730.15","1,810.43","1,680.22","12.80M","3.24%"
"11-02-2025","1,727.87","1,882.05","1,886.73","1,715.83","7.23M","-7.86%"
